,id,name,city,country,airport_id,icao,lat,lot,altitude,timezone,dst,tz,total2010,delay2010,total2011,delay2011,total2012,delay2012,total2013,delay2013,total2014,delay2014,total2015,delay2015,total,delay,delay_ratio
0,2890,Luis Munoz Marin Intl,San Juan,Puerto Rico,SJU,TJSJ,18.439417000000002,-66.00183299999999,9,-4.0,U,America/Puerto_Rico,21686,4495,21781,4836,25180,4433,25628,5521,25551,4907,13160,2435,132986,26627,0.20022408373813785
1,3448,General Edward Lawrence Logan Intl,Boston,United States,BOS,KBOS,42.364346999999995,-71.00518100000001,19,-5.0,A,America/New_York,110194,20801,105754,23370,101505,16277,109458,23694,107971,21797,55457,12897,590339,118836,0.20130128621012672
2,3453,Metropolitan Oakland Intl,Oakland,United States,OAK,KOAK,37.721278000000005,-122.220722,9,-8.0,A,America/Los_Angeles,46484,7425,44671,6707,45338,6894,43744,7554,42629,10111,21993,4326,244859,43017,0.17568069787101964
3,3458,Kansas City Intl,Kansas City,United States,MCI,KMCI,39.297606,-94.71390500000001,1026,-6.0,A,America/Chicago,49483,8580,48105,8232,48545,6741,49664,9405,43814,9192,20533,3612,260144,45762,0.1759102650839535
4,3462,Phoenix Sky Harbor Intl,Phoenix,United States,PHX,KPHX,33.434278000000006,-112.011583,1135,-7.0,N,America/Phoenix,179455,30005,186369,27923,181781,26711,175696,30505,159014,33293,80236,15714,962551,164151,0.17053745723603217
5,3469,San Francisco Intl,San Francisco,United States,SFO,KSFO,37.618972,-122.374889,13,-8.0,A,America/Los_Angeles,136935,30834,142551,33288,166901,42764,164321,35155,162195,38572,76788,16025,849691,196638,0.23142295257923173
6,3484,Los Angeles Intl,Los Angeles,United States,LAX,KLAX,33.942536,-118.408075,126,-8.0,A,America/Los_Angeles,197050,34891,207831,37678,220110,41352,221886,41320,218838,45778,103511,21926,1169226,222945,0.19067742250001282
7,3486,Cleveland Hopkins Intl,Cleveland,United States,CLE,KCLE,41.411689,-81.84979399999999,791,-5.0,A,America/New_York,55256,9153,47596,8436,46609,7194,44994,8961,36059,7804,18264,3543,248778,45091,0.1812499497543995
8,3494,Newark Liberty Intl,Newark,United States,EWR,KEWR,40.6925,-74.168667,18,-5.0,A,America/New_York,110172,23021,107075,28765,115713,30261,117127,30847,105193,27438,52056,11769,607336,152101,0.2504396248534584
9,3502,Dallas Love Fld,Dallas,United States,DAL,KDAL,32.847111,-96.851778,487,-6.0,A,America/Chicago,45462,10136,43865,8607,44785,6734,46117,9923,47575,12928,30295,7320,258099,55648,0.2156071894893045
10,3520,Ronald Reagan Washington Natl,Washington,United States,DCA,KDCA,38.852083,-77.037722,15,-5.0,A,America/New_York,75311,12657,70107,12995,69005,10879,72115,14177,70126,13555,38717,7546,395381,71809,0.18161975411059206
11,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072582999999998,-80.15275,9,-5.0,A,America/New_York,61421,11807,63957,12602,66444,11595,65652,14579,63036,13708,40677,7604,361187,71895,0.19905201460739175
12,3536,Salt Lake City Intl,Salt Lake City,United States,SLC,KSLC,40.788389,-111.977772,4227,-7.0,A,America/Denver,123208,21602,118232,14901,109507,12282,111407,15636,107735,14247,52165,6611,622254,85279,0.1370485364497456
13,3550,George Bush Intercontinental,Houston,United States,IAH,KIAH,29.984433000000003,-95.341442,97,-6.0,A,America/Chicago,181372,34618,172565,35833,174804,38549,178666,36575,169890,39520,79980,18807,957277,203902,0.21300208821480093
14,3566,William P Hobby,Houston,United States,HOU,KHOU,29.645419,-95.278889,46,-6.0,A,America/Chicago,51446,12239,51309,10800,53171,10478,58638,14265,58406,15935,27351,6382,300321,70099,0.23341358080187533
15,3570,Pittsburgh Intl,Pittsburgh,United States,PIT,KPIT,40.491467,-80.232872,1204,-5.0,A,America/New_York,36592,6604,31968,5693,30555,4356,33644,6322,27683,4844,12823,2130,173265,29949,0.17285083542550428
16,3576,Miami Intl,Miami,United States,MIA,KMIA,25.79325,-80.29055600000001,8,-5.0,A,America/New_York,68244,16827,75659,18138,76482,17394,81417,15999,81106,15582,37729,8482,420637,92422,0.21971914025632552
17,3577,Seattle Tacoma Intl,Seattle,United States,SEA,KSEA,47.449,-122.309306,433,-8.0,A,America/Los_Angeles,97865,12927,99424,12515,99271,13619,102458,16232,107940,17618,55777,8751,562735,81662,0.14511626253920584
18,3585,Indianapolis Intl,Indianapolis,United States,IND,KIND,39.717331,-86.294383,797,-5.0,A,America/New_York,36300,6881,29678,5163,28202,4190,30358,5556,27675,5916,13183,2316,165396,30022,0.1815158770466033
19,3621,San Antonio Intl,San Antonio,United States,SAT,KSAT,29.533694,-98.469778,809,-6.0,A,America/Chicago,38449,5914,37998,5395,38154,5135,39749,6277,33390,6555,16153,2742,203893,32018,0.15703334592163537
20,3626,Raleigh Durham Intl,Raleigh-durham,United States,RDU,KRDU,35.877639,-78.787472,435,-5.0,A,America/New_York,47602,8379,41501,7348,43249,6587,46962,9028,37575,7509,16492,3262,233381,42113,0.18044742288361093
21,3645,Detroit Metro Wayne Co,Detroit,United States,DTW,KDTW,42.212444,-83.353389,645,-5.0,A,America/New_York,157379,35290,88105,16684,91038,14079,160906,31217,103903,19685,57823,11804,659154,128759,0.19533978402619115
22,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975471999999996,-82.53325,26,-5.0,A,America/New_York,67897,11342,68206,10096,66849,9182,65610,11561,63967,12581,35516,6570,368045,61332,0.16664266597834504
